pathway_id,pathway_name,source,n_genes
GO:0006605,protein targeting,GO:BP,4
GO:0009790,embryo development,GO:BP,10
GO:0005759,mitochondrial matrix,GO:CC,4
REAC:R-HSA-9824446,Viral Infection Pathways,REAC,12
GO:0046982,protein heterodimerization activity,GO:MF,3
GO:0004674,protein serine/threonine kinase activity,GO:MF,5
WP:WP5473,Cytokine cytokine receptor interaction,WP,3
REAC:R-HSA-69620,Cell Cycle Checkpoints,REAC,4
REAC:R-HSA-3700989,Transcriptional Regulation by TP53,REAC,5
GO:0031984,organelle subcompartment,GO:CC,13
GO:0061659,ubiquitin-like protein ligase activity,GO:MF,3
WP:WP3932,Focal adhesion PI3K Akt mTOR signaling,WP,3
GO:0045892,negative regulation of DNA-templated transcription,GO:BP,8
REAC:R-HSA-5663205,Infectious disease,REAC,16
KEGG:04144,Endocytosis,KEGG,6
KEGG:04141,Protein processing in endoplasmic reticulum,KEGG,4
KEGG:01100,Metabolic pathways,KEGG,24
KEGG:01232,Nucleotide metabolism,KEGG,3
KEGG:04668,TNF signaling pathway,KEGG,3
KEGG:04380,Osteoclast differentiation,KEGG,3
GO:0031981,nuclear lumen,GO:CC,45
GO:1902679,negative regulation of RNA biosynthetic process,GO:BP,10
GO:0005667,transcription regulator complex,GO:CC,3
GO:0098662,inorganic cation transmembrane transport,GO:BP,5
GO:0004842,ubiquitin-protein transferase activity,GO:MF,3
GO:0022890,inorganic cation transmembrane transporter activity,GO:MF,5
GO:0031047,regulatory ncRNA-mediated gene silencing,GO:BP,3
GO:0003690,double-stranded DNA binding,GO:MF,4
GO:0016071,mRNA metabolic process,GO:BP,5
REAC:R-HSA-1280215,Cytokine Signaling in Immune system,REAC,9
GO:0006396,RNA processing,GO:BP,7
GO:0003723,RNA binding,GO:MF,21
GO:0140513,nuclear protein-containing complex,GO:CC,8
GO:0005730,nucleolus,GO:CC,10
GO:0008380,RNA splicing,GO:BP,3
